Story;Beam;Load;Loc;P;V2;V3;T;M2;M3
STORY9;B68;U01;0.4;0.13;-0.94;-0.13;0.043;-0.073;-0.332
STORY9;B68;U01;0.455;0.13;-0.87;-0.13;0.043;-0.066;-0.283
STORY9;B68;U01;0.51;0.13;-0.8;-0.13;0.043;-0.059;-0.237
STORY9;B68;U01;0.565;0.13;-0.72;-0.13;0.043;-0.052;-0.195
STORY9;B68;U01;0.62;0.13;-0.65;-0.13;0.043;-0.045;-0.157
STORY9;B68;U01;0.675;0.13;-0.59;-0.13;0.043;-0.038;-0.123
STORY9;B68;U01;0.73;0.13;-0.52;-0.13;0.043;-0.031;-0.093
STORY9;B68;U01;0.785;0.13;-0.47;-0.13;0.043;-0.024;-0.065
STORY9;B68;U01;0.84;0.13;-0.42;-0.13;0.043;-0.017;-0.041
STORY9;B68;U01;0.895;0.13;-0.37;-0.13;0.043;-0.01;-0.019
STORY9;B68;U01;0.95;0.13;-0.33;-0.13;0.043;-0.003;0
STORY9;B68;U02;0.4;0.21;-0.08;-0.15;-0.073;-0.089;0.118
STORY9;B68;U02;0.455;0.21;-0.02;-0.15;-0.073;-0.081;0.121
STORY9;B68;U02;0.51;0.21;0.05;-0.15;-0.073;-0.073;0.12
STORY9;B68;U02;0.565;0.21;0.11;-0.15;-0.073;-0.064;0.115
STORY9;B68;U02;0.62;0.21;0.17;-0.15;-0.073;-0.056;0.108
STORY9;B68;U02;0.675;0.21;0.23;-0.15;-0.073;-0.048;0.096
STORY9;B68;U02;0.73;0.21;0.28;-0.15;-0.073;-0.04;0.082
STORY9;B68;U02;0.785;0.21;0.33;-0.15;-0.073;-0.032;0.065
STORY9;B68;U02;0.84;0.21;0.38;-0.15;-0.073;-0.023;0.046
STORY9;B68;U02;0.895;0.21;0.42;-0.15;-0.073;-0.015;0.024
STORY9;B68;U02;0.95;0.21;0.45;-0.15;-0.073;-0.007;0
STORY9;B68;U03;0.4;0.13;-0.75;-0.12;0.025;-0.07;-0.244
STORY9;B68;U03;0.455;0.13;-0.68;-0.12;0.025;-0.063;-0.205
STORY9;B68;U03;0.51;0.13;-0.62;-0.12;0.025;-0.057;-0.169
STORY9;B68;U03;0.565;0.13;-0.55;-0.12;0.025;-0.05;-0.137
STORY9;B68;U03;0.62;0.13;-0.49;-0.12;0.025;-0.043;-0.109
STORY9;B68;U03;0.675;0.13;-0.43;-0.12;0.025;-0.037;-0.084
STORY9;B68;U03;0.73;0.13;-0.37;-0.12;0.025;-0.03;-0.062
STORY9;B68;U03;0.785;0.13;-0.32;-0.12;0.025;-0.023;-0.043
STORY9;B68;U03;0.84;0.13;-0.28;-0.12;0.025;-0.017;-0.026
STORY9;B68;U03;0.895;0.13;-0.24;-0.12;0.025;-0.01;-0.012
STORY9;B68;U03;0.95;0.13;-0.2;-0.12;0.025;-0.003;0
STORY9;B68;U04;0.4;0.17;-0.34;-0.14;-0.033;-0.08;-0.028
STORY9;B68;U04;0.455;0.17;-0.28;-0.14;-0.033;-0.072;-0.011
STORY9;B68;U04;0.51;0.17;-0.22;-0.14;-0.033;-0.065;0.003
STORY9;B68;U04;0.565;0.17;-0.15;-0.14;-0.033;-0.058;0.013
STORY9;B68;U04;0.62;0.17;-0.09;-0.14;-0.033;-0.05;0.02
STORY9;B68;U04;0.675;0.17;-0.03;-0.14;-0.033;-0.043;0.023
STORY9;B68;U04;0.73;0.17;0.02;-0.14;-0.033;-0.035;0.024
STORY9;B68;U04;0.785;0.17;0.07;-0.14;-0.033;-0.028;0.021
STORY9;B68;U04;0.84;0.17;0.11;-0.14;-0.033;-0.02;0.016
STORY9;B68;U04;0.895;0.17;0.15;-0.14;-0.033;-0.013;0.009
STORY9;B68;U04;0.95;0.17;0.19;-0.14;-0.033;-0.005;0
STORY9;B68;U07;0.4;0.08;-0.61;-0.08;0.028;-0.047;-0.214
STORY9;B68;U07;0.455;0.08;-0.56;-0.08;0.028;-0.042;-0.182
STORY9;B68;U07;0.51;0.08;-0.51;-0.08;0.028;-0.038;-0.152
STORY9;B68;U07;0.565;0.08;-0.46;-0.08;0.028;-0.033;-0.125
STORY9;B68;U07;0.62;0.08;-0.42;-0.08;0.028;-0.029;-0.101
